created_on,name,schema_name,is_builtin,is_aggregate,is_ansi,min_num_arguments,max_num_arguments,arguments,description,catalog_name,is_table_function,valid_for_clustering,is_secure,secrets,external_access_integrations,is_external_function,language,is_memoizable,is_data_metric
2012-08-01 00:00:00.000 -0700,!=,,Y,N,Y,2,2,"!=(ANY, ANY) RETURN BOOLEAN, !=(ROW(ANY), ROW(ANY)) RETURN BOOLEAN",Checks if the first value is not equal to the second value,,N,Y,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,%,,Y,N,N,2,2,"%(NUMBER, NUMBER) RETURN NUMBER, %(FLOAT, FLOAT) RETURN FLOAT",Computes modulo of two numbers,,N,Y,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,*,,Y,N,N,2,-1,"*(NUMBER, NUMBER) RETURN NUMBER, *(FLOAT, FLOAT) RETURN FLOAT",Multiplies two numbers,,N,Y,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,+,,Y,N,Y,2,-1,"+(NUMBER, NUMBER) RETURN NUMBER, +(FLOAT, FLOAT) RETURN FLOAT",Adds two numbers,,N,Y,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,-,,Y,N,Y,1,2,"-(NUMBER, NUMBER) RETURN NUMBER, -(FLOAT, FLOAT) RETURN FLOAT",Subtracts two numbers,,N,Y,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,/,,Y,N,N,2,-1,"/(NUMBER, NUMBER) RETURN NUMBER, /(FLOAT, FLOAT) RETURN FLOAT",Divides two numbers,,N,Y,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,:,,Y,N,N,2,2,":(VARIANT, VARCHAR) RETURN VARIANT, :(VARIANT, NUMBER) RETURN VARIANT, :(OBJECT, VARCHAR) RETURN VARIANT, :(ARRAY, NUMBER) RETURN VARIANT, :(ARRAY(ANY), NUMBER) RETURN ANY, :(OBJECT(placeholder ANY), VARCHAR) RETURN ANY, :(MAP(ANY, ANY), ANY) RETURN ANY",Get VARIANT element value from an array or object,,N,N,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,<,,Y,N,Y,2,2,"<(ANY, ANY) RETURN BOOLEAN, <(ROW(ANY), ROW(ANY)) RETURN BOOLEAN",Checks if the first value is smaller than the second value,,N,Y,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,<=,,Y,N,Y,2,2,"<=(ANY, ANY) RETURN BOOLEAN, <=(ROW(ANY), ROW(ANY)) RETURN BOOLEAN",Checks if the first value is smaller than or equal to the second value,,N,Y,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,<>,,Y,N,Y,2,2,"<>(ANY, ANY) RETURN BOOLEAN, <>(ROW(ANY), ROW(ANY)) RETURN BOOLEAN",Checks if the first value is not equal to the second value,,N,Y,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,=,,Y,N,Y,2,2,"=(ANY, ANY) RETURN BOOLEAN, =(ROW(ANY), ROW(ANY)) RETURN BOOLEAN",Checks if two values are equal,,N,Y,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,>,,Y,N,Y,2,2,">(ANY, ANY) RETURN BOOLEAN, >(ROW(ANY), ROW(ANY)) RETURN BOOLEAN",Checks if the first value is greater than the second value,,N,Y,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,>=,,Y,N,Y,2,2,">=(ANY, ANY) RETURN BOOLEAN, >=(ROW(ANY), ROW(ANY)) RETURN BOOLEAN",Checks if the first value is greater than or equal to the second value,,N,Y,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,ABS,,Y,N,Y,1,1,"ABS(NUMBER) RETURN NUMBER, ABS(FLOAT) RETURN FLOAT",returns absolute value of x,,N,Y,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,ACOS,,Y,N,N,1,1,ACOS(FLOAT) RETURN FLOAT,Compute the arccosine of the input expression (returned as radians).,,N,Y,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,ACOSH,,Y,N,N,1,1,ACOSH(FLOAT) RETURN FLOAT,Compute the inverse hyperbolic cosine of the input expression.,,N,N,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,ADD_MONTHS,,Y,N,N,2,2,,,,N,N,,,,N,SQL,N,N
2012-08-01 00:00:00.000 -0700,AGGREGATION_CONSTRAINT,,Y,N,Y,1,2,"AGGREGATION_CONSTRAINT(NUMBER, NUMBER) RETURN SYSTEM$AGGREGATION_CONSTRAINT, AGGREGATION_CONSTRAINT(NUMBER) RETURN SYSTEM$AGGREGATION_CONSTRAINT",Returns the aggregation constraint,,N,N,,,,N,SQL,N,N
